Date,Rreturn,RDM,Inf,RGDPgrowth,DollarIdx,Dummy,TB
1975/1/1,0.1335718,-0.0149827,0.0211479,-0.0122477,93.03733333,0,0.05775
1975/4/1,0.1249624,0.0030527,0.0119762,0.00712,92.61933333,0,0.05396875
1975/7/1,-0.0593106,-0.0012072,0.0198518,0.0169717,95.8816,0,0.063284375
1975/10/1,0.0182184,-0.0115098,0.0182598,0.0133752,96.2696,0,0.05637541
1976/1/1,0.1225101,0.0030823,0.0113944,0.0222385,94.84613333,0,0.049212903
1976/4/1,0.0092069,0.008046,0.0089048,0.0073102,94.5274,0,0.051590476
1976/7/1,0.0119832,-0.0057405,0.0158315,0.0054722,94.118,0,0.05151875
1976/10/1,0.0053151,0.003257,0.0144386,0.0072223,94.55173333,0,0.046604918
1977/1/1,-0.0255443,0.0055951,0.0181823,0.0117457,94.0881,0,0.046265079
1977/4/1,-0.0123904,0.0020901,0.0173044,0.0192545,93.8278,0,0.048436508
1977/7/1,-0.0088503,0.0018963,0.0137403,0.0178827,92.77276667,0,0.055047619
1977/10/1,-0.0244344,0.0047252,0.0146304,0.0000219,90.84533333,0,0.061093333
1978/1/1,-0.0470694,0.0037641,0.0170671,0.0031867,88.86773333,0,0.063890164
1978/4/1,0.0879392,0.0020642,0.0224846,0.0379146,89.0176,0,0.064831746
1978/7/1,0.0598347,-0.0059541,0.0230013,0.010005,85.8969,0,0.072990476
1978/10/1,-0.099019,-0.0073186,0.022978,0.0133519,85.42893333,0,0.085608197
1979/1/1,0.0511677,-0.0108233,0.0248733,0.0017962,86.8667,0,0.093877419
1979/4/1,0.0216685,-0.0039767,0.031297,0.0010687,88.98476667,0,0.093743548
1979/7/1,0.0519941,-0.0100114,0.0317049,0.0074013,88.12116667,0,0.096509524
1979/10/1,-0.0026318,-0.0239788,0.031169,0.0024976,89.68653333,0,0.118393443
1980/1/1,0.0037925,-0.0206234,0.0386979,0.0031402,90.34356667,0,0.133459677
1980/4/1,-0.0488557,-0.0389628,0.0331843,-0.02082,90.79776667,0,0.09618254
1980/7/1,0.136014,0.0156149,0.0185939,-0.0011892,88.3119,0,0.091354688
1980/10/1,0.0705192,-0.0026437,0.0276479,0.0184775,89.56083333,0,0.13604918
1981/1/1,-0.0333625,-0.0136772,0.0272832,0.0194049,91.39606667,0,0.143529508
1981/4/1,0.0200844,0.0049313,0.0206348,-0.0074384,96.20553333,0,0.148853968
1981/7/1,-0.0691476,-0.0247594,0.0274692,0.0119041,100.7803667,0,0.150507813
1981/10/1,-0.0363318,-0.0040422,0.0161265,-0.0109553,97.94613333,0,0.117778689
1982/1/1,-0.0780772,0.0147183,0.008848,-0.0156573,100.7904333,0,0.127832787
1982/4/1,-0.0073169,-0.003856,0.0143434,0.0045516,104.3793667,0,0.124250794
1982/7/1,-0.0121662,-0.0061,0.0172181,-0.0038303,109.8755,0,0.093064063
1982/10/1,0.2002106,0.0363317,0.003068,0.0003993,109.354,0,0.079029508
1983/1/1,0.0983937,0.0281304,0.0006805,0.0130925,107.0455333,0,0.081136508
1983/4/1,0.1093211,0.019052,0.0114983,0.022501,109.7110333,0,0.084079365
1983/7/1,0.0198736,0.0127642,0.0097039,0.0197935,112.5841333,0,0.091470313
1983/10/1,-0.01236,0.0072306,0.0099404,0.0206476,112.9268667,0,0.088023333
1984/1/1,-0.0494602,0.0026576,0.0140778,0.0193591,113.5285,0,0.091775806
1984/4/1,-0.0379584,0.0081233,0.0093837,0.0171303,114.9933667,0,0.098009524
1984/7/1,0.0299142,-0.0005781,0.0086581,0.0095945,120.3292,0,0.1032
1984/10/1,0.0288287,0.0022461,0.0085837,0.0081751,122.7942667,0,0.088344262
1985/1/1,0.0795368,0.0176006,0.0091382,0.0096442,127.0769667,0,0.08175
1985/4/1,0.0452843,0.0147549,0.0090555,0.008766,125.2951,0,0.074684127
1985/7/1,0.0282814,0.0283295,0.0061977,0.0151558,121.8670667,0,0.071060317
1985/10/1,0.0355325,0.0181144,0.010143,0.0074054,116.6878,0,0.071637097
1986/1/1,0.1181003,0.0165108,0.0051853,0.0092917,111.865,0,0.068996667
1986/4/1,0.1052473,0.0431689,-0.0048795,0.0044937,107.5694,0,0.061371875
1986/7/1,-0.0057651,0.0354204,0.0060957,0.0095248,104.9707333,0,0.055265625
1986/10/1,-0.0008139,0.0356132,0.0069644,0.0053564,105.1762,0,0.053525806
1987/1/1,0.1290182,0.0203264,0.0119977,0.0074241,101.3849,0,0.055383607
1987/4/1,0.0334304,0.0059929,0.0112661,0.0107312,98.6242,0,0.056549206
1987/7/1,0.0702844,-0.0094117,0.0105573,0.0086387,99.5229,0,0.060367188
1987/10/1,-0.2302568,0.0014812,0.0092916,0.0170248,95.09536667,0,0.058691935
1988/1/1,0.0218444,-0.0007148,0.0077732,0.005153,91.96693333,0,0.057232258
1988/4/1,0.0261319,0.0070744,0.0114059,0.0130531,90.99976667,0,0.062166667
1988/7/1,0.0123544,0.0008111,0.0121179,0.0058422,94.36696667,0,0.0701625
1988/10/1,0.0178286,-0.0080387,0.0108651,0.013237,90.9567,0,0.077308197
1989/1/1,0.055163,-0.012284,0.0112964,0.0101147,91.80913333,0,0.085465574
1989/4/1,0.0688837,-0.0266752,0.0160351,0.0076037,94.70346667,0,0.08403125
1989/7/1,0.0814299,-0.0033517,0.0077884,0.0073815,94.89516667,0,0.078469841
1989/10/1,0.0015217,0.002342,0.0101145,0.0019685,93.77403333,0,0.076514516
1990/1/1,-0.0441375,-0.0054912,0.0170675,0.0108686,93.3053,0,0.077635484
1990/4/1,0.0274965,0.0001604,0.0098446,0.0036225,93.44133333,0,0.077466667
1990/7/1,-0.0574232,-0.0060582,0.017125,0.000665,90.418,0,0.074771429
1990/10/1,-0.0819403,-0.0084243,0.0168367,-0.0091455,87.7265,0,0.069948387
1991/1/1,0.1200719,0.0054083,0.0074479,-0.0046894,88.21266667,0,0.060286667
1991/4/1,0.0840412,0.0139263,0.0059186,0.0077669,91.34416667,0,0.055603125
1991/7/1,0.0197401,0.0116342,0.0075934,0.0050402,90.99616667,0,0.05379375
1991/10/1,0.0137862,0.016219,0.0082625,0.0034789,88.1628,0,0.045490323
1992/1/1,0.0761052,0.0336222,0.0067535,0.0118994,88.20676667,0,0.03898871
1992/4/1,-0.0205455,0.0195652,0.0076629,0.0107852,88.20603333,0,0.036798413
1992/7/1,0.0108145,0.0187566,0.0076046,0.0098342,85.65513333,0,0.030835938
1992/10/1,0.0249621,0.0312777,0.0087213,0.0103776,89.07303333,0,0.030701613
1993/1/1,0.0530861,0.0116429,0.007249,0.0016726,90.47026667,0,0.0296
1993/4/1,0.0042138,0.0202239,0.0071968,0.0058073,88.27446667,0,0.02967619
1993/7/1,0.0304325,0.0245967,0.0046157,0.0047618,88.609,0,0.0300125
1993/10/1,0.0234198,0.016921,0.008255,0.0135095,89.1595,0,0.030593548
1994/1/1,0.0147635,0.0072143,0.0050114,0.0096554,91.0001,0,0.032564516
1994/4/1,-0.0447576,0.0006024,0.0056645,0.0134595,90.06873333,0,0.039990323
1994/7/1,0.0153462,-0.0023688,0.0092208,0.0058281,87.78243333,0,0.044804688
1994/10/1,-0.003253,-0.0061853,0.0058036,0.0113901,86.9758,0,0.052822951
1995/1/1,0.0390944,-0.0091532,0.0073179,0.0035413,88.75753333,0,0.057353226
1995/4/1,0.0791453,-0.0100778,0.0081418,0.002979,84.4302,0,0.055942857
1995/7/1,0.0874037,-0.0067457,0.0050279,0.0084708,85.5931,0,0.053677778
1995/10/1,0.0485267,-0.0153915,0.0054366,0.0067673,87.26656667,0,0.052612903
1996/1/1,0.0546705,-0.0190369,0.0088525,0.0074616,88.2386,0,0.049301613
1996/4/1,0.0449488,-0.0108901,0.0085617,0.0165409,88.52196667,0,0.05018125
1996/7/1,-0.0116608,-0.0196684,0.005738,0.0089299,88.43533333,0,0.050964063
1996/10/1,0.0810824,-0.0268738,0.0086508,0.0103303,88.86653333,0,0.049735484
1997/1/1,0.0653112,-0.0115869,0.006074,0.0064349,91.18286667,0,0.050616667
1997/4/1,0.0359916,-0.0143243,0.0022943,0.0164834,91.79203333,0,0.050489063
1997/7/1,0.1299235,-0.0007016,0.0049875,0.0124309,93.27496667,0,0.050490625
1997/10/1,0.028777,-0.0050256,0.0053752,0.0085515,96.6579,0,0.050895161
1998/1/1,0.0651707,0.0041731,0.0020597,0.0099452,100.8523333,0,0.050503279
1998/4/1,0.0747176,-0.0023106,0.0032868,0.0092155,101.0245,0,0.04974127
1998/7/1,-0.0465916,-0.005446,0.0051141,0.0124479,103.5028667,0,0.0482625
1998/10/1,0.0168271,0.0091605,0.0046819,0.0160296,99.4214,0,0.042527419
1999/1/1,0.1182767,0.0010516,0.0036489,0.0094202,99.94973333,0,0.044072131
1999/4/1,0.0505179,-0.0033088,0.007459,0.0076622,100.9589,0,0.044501563
1999/7/1,0.0022459,-0.0104998,0.0074037,0.0130116,100.6280333,0,0.04650625
1999/10/1,0.0309915,0.0051123,0.0073493,0.016853,99.78033333,0,0.050475806
2000/1/1,0.0694126,-0.0091802,0.0098465,0.0036111,100.9534333,0,0.055287302
2000/4/1,-0.0235778,-0.0123556,0.007808,0.018146,103.4985333,0,0.057144444
2000/7/1,0.0221907,-0.0150207,0.0090971,0.0013347,104.7390667,0,0.060193651
2000/10/1,-0.093727,-0.0143462,0.0071038,0.0062096,107.5082333,0,0.060198387
2001/1/1,-0.0829084,-0.001329,0.0095203,-0.0028559,108.5596667,0,0.04808871
2001/4/1,-0.0340145,0.009424,0.0069871,0.0058285,110.8370333,0,0.036553968
2001/7/1,-0.0639527,0.0360702,0.0028188,-0.004159,110.4166333,0,0.032118033
2001/10/1,-0.0316275,0.0079484,-0.0007509,0.00272,110.8304,0,0.019141935
2002/1/1,0.0269991,0.0122289,0.0031874,0.0087071,112.4118333,0,0.017206667
2002/4/1,-0.048204,-0.0092582,0.0078315,0.0060391,110.5976333,0,0.017139063
2002/7/1,-0.1795097,-0.0017612,0.0053719,0.0044359,108.7168333,0,0.01643125
2002/10/1,-0.0137209,0.0083259,0.0058943,0.001547,109.4864333,0,0.013425806
2003/1/1,-0.0324905,0.0090989,0.0102321,0.0055323,107.2957667,0,0.011547541
2003/4/1,0.0973338,0.0269548,-0.0016374,0.0085658,103.3053667,0,0.010392063
2003/7/1,0.0747008,0.0137801,0.0074377,0.0168395,103.6121333,0,0.009282813
2003/10/1,0.0630651,0.0018515,0.0037882,0.0114163,100.3298,0,0.009156452
2004/1/1,0.0677002,0.0050623,0.0084268,0.0053233,98.52563333,0,0.00916129
2004/4/1,-0.0130719,0.0053655,0.007825,0.0075919,100.8079333,0,0.01078871
2004/7/1,-0.0213468,0.005757,0.0063571,0.0094089,99.93776667,0,0.014882813
2004/10/1,0.0531473,0.0027498,0.0106803,0.0099669,96.7209,0,0.020116129
2005/1/1,0.0275499,-0.0058815,0.0050378,0.0110088,95.64676667,0,0.025436066
2005/4/1,-0.0078342,-0.0078019,0.0067352,0.004605,96.85453333,0,0.028667188
2005/7/1,0.0348779,-0.0099102,0.0150327,0.0088738,97.91326667,0,0.033634375
2005/10/1,0.0013966,-0.0089992,0.009282,0.0062948,98.93753333,0,0.038262295
2006/1/1,0.0494054,-0.0017325,0.0051939,0.0132152,97.49746667,0,0.04398871
2006/4/1,-0.0050974,-0.0082707,0.0089836,0.0023343,96.33213333,0,0.04708254
2006/7/1,-0.0075153,-0.0178366,0.0093959,0.0015451,96.28153333,0,0.049068254
2006/10/1,0.0849404,0.0037505,-0.0041102,0.0084826,94.7929,0,0.049035484
2007/1/1,0.0256222,-0.011294,0.0097562,0.0023522,94.7956,0,0.049782258
2007/4/1,0.0432202,-0.0050441,0.0112619,0.0057124,92.9323,0,0.047375
2007/7/1,-0.0101044,-0.0070846,0.0063102,0.005418,90.95793333,0,0.043149206
2007/10/1,-0.0030774,-0.0119713,0.0121918,0.00606,87.89146667,0,0.034058065
2008/1/1,-0.1090651,-0.0054753,0.0107736,-0.0057636,86.0388,0,0.020583607
2008/4/1,0.0129356,-0.0026203,0.0129255,0.0051506,84.54906667,0,0.016226563
2008/7/1,-0.09542,0.0085547,0.0153011,-0.0054283,86.69366667,0,0.014960938
2008/10/1,-0.3032769,0.0911048,-0.0231682,-0.0218756,93.9242,1,0.003070968
2009/1/1,-0.1013208,0.0361714,-0.0069025,-0.0112904,95.8015,1,0.002118033
2009/4/1,0.1089407,0.0277703,0.0053035,-0.0014409,92.40353333,1,0.001703175
2009/7/1,0.1103843,0.0115955,0.0085671,0.0036345,89.75623333,1,0.001598438
2009/10/1,0.0843171,0.0053398,0.0077988,0.010924,87.6213,1,0.000604839
2010/1/1,0.0411979,0.0049269,0.0015838,0.0038404,88.0223,1,0.001098361
2010/4/1,0.020797,0.0109658,-0.0003528,0.009178,88.73816667,1,0.001482813
2010/7/1,-0.0347252,0.0160185,0.0029272,0.0073451,87.41723333,1,0.001548438
2010/10/1,0.0981402,0.0305611,0.0080646,0.0050065,84.42283333,1,0.001395161
2011/1/1,0.0757261,0.0204867,0.0106156,-0.0024073,83.21626667,1,0.001267742
2011/4/1,0.006679,0.0198042,0.011306,0.0071243,81.2181,1,0.000452381
2011/7/1,-0.0799105,0.067902,0.0064995,-0.0002778,81.683,1,0.00025
2011/10/1,-0.0044339,0.0314375,0.004479,0.0115262,84.61483333,1,0.000147541
2012/1/1,0.0989553,0.0203192,0.0056159,0.0077994,83.8712,1,0.000706452
2012/4/1,-0.00052,0.0189366,0.0021088,0.0042928,85.08473333,1,0.000882813
2012/7/1,0.0355962,0.0352356,0.0045045,0.0013486,84.96373333,1,0.001015873
2012/10/1,0.0119195,0.0281636,0.0066275,0.0011381,83.7681,1,0.000896721
2013/1/1,0.072939,0.0121801,0.0040115,0.0088178,83.96993333,1,0.000863333
2013/4/1,0.0653293,0.0211714,-0.0010955,0.0012332,84.34276667,1,0.000515625
2013/7/1,0.0446362,0.0084479,0.0053939,0.0078036,85.14996667,1,0.000321875
2013/10/1,0.0570636,0.0258119,0.0036909,0.0079508,84.4067,1,0.000601613
2014/1/1,0.0378058,0.0266908,0.0062086,-0.0028311,85.61476667,1,0.000493443
2014/4/1,0.0296036,0.0219457,0.0052967,0.013446,85.01193333,1,0.000330159
2014/7/1,0.0380217,0.0098741,0.0025551,0.0121354,85.5186,1,0.000264063
2014/10/1,0.0202373,0.0242398,-0.0024875,0.0056122,88.85816667,1,0.000225806
2015/1/1,0.0423858,0.0349899,-0.0064939,0.0094468,93.3114,1,0.000245902
2015/4/1,0.0177768,0.0000789,0.0067963,0.0067433,93.64586667,1,0.000182813
2015/7/1,-0.0368939,0.0080435,0.0037699,0.0036195,96.7921,1,0.000420313
2015/10/1,0.0120601,0.0086005,-0.0000757,0.0016023,97.9817,1,0.001241935
2016/1/1,-0.05137,0.0203088,-0.0006211,0.0056482,99.64046667,1,0.002880328
2016/4/1,0.0635612,0.0251593,0.007966,0.0031143,97.28453333,1,0.002575
2016/7/1,0.0461228,0.0164037,0.0042358,0.0054292,98.17363333,1,0.00295625
2016/10/1,0.0139154,0.0071245,0.0063278,0.0062733,101.4255333,1,0.004272131
2017/1/1,0.0625234,0.0139557,0.00666,0.0056408,101.9828,1,0.005982258
2017/4/1,0.030854,0.0243702,0.0017803,0.0042604,99.2823,1,0.008944444
2017/7/1,0.0267854,0.014397,0.0047324,0.0072619,95.9157,1,0.01035873
2017/10/1,0.0517841,0.0042288,0.0077615,0.0095114,96.6466,1,0.012069355
2018/1/1,0.0432357,0.0004105,0.0077446,0.0092737,94.68056667,1,0.015590164
2018/4/1,-0.0080597,-0.0011179,0.0062344,0.006664,97.18163333,1,0.01840625
2018/7/1,0.0540929,0.002963,0.0040465,0.0052382,99.95933333,1,0.020361905
2018/10/1,-0.0621743,0.0054246,0.0038996,0.0032778,101.6331667,1,0.023108197
2019/1/1,0.0144355,0.0036377,0.0017697,0.0072251,100.5254667,1,0.023883607
2019/4/1,0.0509478,0.0080865,0.0086034,0.0037003,101.1611,1,0.023049206
2019/7/1,0.0236011,0.0135987,0.0031993,0.006349,102.1633333,1,0.019835938
2019/10/1,0.0377874,0.0139605,0.0064896,0.0058452,101.8733667,1,0.015769355
